date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:45:11	366069/366069	---M--	200	added ('OK')	image/png	etag:%223840e51-595f5-5752622a50380%22	http://petrogas-energy.com/wp-content/uploads/2018/09/about.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/about.png	(from http://petrogas-energy.com/about-us/)
05:45:12	162112/162112	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Aug%202021%2012:45:12%20GMT	http://petrogas-energy.com/upstream/	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/upstream/index.html	(from http://petrogas-energy.com/operations/)
05:45:22	104604/104604	---M--	200	added ('OK')	image/png	etag:%223840f2a-1989c-575274affb680%22	http://petrogas-energy.com/wp-content/uploads/2018/09/up.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/up.png	(from http://petrogas-energy.com/operations/)
05:45:24	172831/172831	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Aug%202021%2012:45:24%20GMT	http://petrogas-energy.com/downstream/	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/downstream/index.html	(from http://petrogas-energy.com/operations/)
05:45:30	126385/126385	---M--	200	added ('OK')	image/png	etag:%223840da4-1edb1-575274aa42900%22	http://petrogas-energy.com/wp-content/uploads/2018/09/mid.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/mid.png	(from http://petrogas-energy.com/operations/)
05:45:30	103127/103127	---M--	200	added ('OK')	image/png	etag:%223840eca-192d7-57527786ae900%22	http://petrogas-energy.com/wp-content/uploads/2018/09/down.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/down.png	(from http://petrogas-energy.com/operations/)
05:45:31	162305/162305	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Aug%202021%2012:45:31%20GMT	http://petrogas-energy.com/finance/	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/finance/index.html	(from http://petrogas-energy.com/operations/)
05:45:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Aug%202021%2012:45:32%20GMT	http://petrogas-energy.com/?p=3289	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/indexb9a8.html	(from http://petrogas-energy.com/facilities/)
05:45:32	2223/2223	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Aug%202021%2012:45:32%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Ffacilities%2F	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embede930.json	(from http://petrogas-energy.com/facilities/)
05:45:34	2320/2320	---MC-	200	added ('OK')	text/xml	date:Wed,%2018%20Aug%202021%2012:45:34%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Ffacilities%2F&format=xml	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embed3f7a	(from http://petrogas-energy.com/facilities/)
